key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
#,Name,Bg,,PlaceName{Region},PlaceName{Zone},PlaceName,Map,LoadingImage,,TerritoryIntendedUse,,,WeatherRate,,,,,,,,PlaceName{Region}Icon,PlaceNameIcon,ArrayEventHandler,QuestBattle,Aetheryte,,,,IsPvpZone,,,,,,,,
int32,str,str,byte,PlaceName,PlaceName,PlaceName,Map,LoadingImage,byte,byte,uint16,bit&01,byte,bit&02,byte,bit&04,bit&08,bit&10,bit&20,uint16,Image,Image,ArrayEventHandler,QuestBattle,Aetheryte,int32,uint16,sbyte,bit&40,byte,byte,byte,byte,bit&80,byte,bit&01,bit&02
1,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
2,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
3,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
4,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
5,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
6,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
7,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
8,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
9,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
10,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
11,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
13,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
14,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
15,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
16,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
17,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
18,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
19,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
20,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
21,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
22,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
24,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
25,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
26,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
27,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
28,"","",0,"","","","","LoadingImage#0",0,0,0,False,0,False,0,False,False,False,False,0,,,,"QuestBattle#0","",0,0,0,False,0,0,0,0,False,0,False,False
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,"라노시아","림사 로민사","림사 로민사 상층 갑판","s1t1/01","LoadingImage#2",0,0,0,False,14,True,0,True,False,False,False,1020,,,"ArrayEventHandler#852085","QuestBattle#0","림사 로민사 하층 갑판",-1,0,0,False,0,0,0,0,False,0,False,False
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,"라노시아","림사 로민사","림사 로민사 하층 갑판","s1t2/01","LoadingImage#2",0,0,0,False,15,True,0,True,False,False,False,1020,,,"ArrayEventHandler#852088","QuestBattle#0","림사 로민사 하층 갑판",-1,0,1,False,0,0,0,0,False,0,False,False
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,"다날란","울다하","울다하 날 회랑","w1t1/01","LoadingImage#4",0,0,0,False,7,True,0,True,False,False,False,1035,,,"ArrayEventHandler#852086","QuestBattle#0","울다하 날 회랑",-1,0,2,False,0,0,0,0,False,0,False,False
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,"다날란","울다하","울다하 달 회랑","w1t2/01","LoadingImage#4",0,0,0,False,8,True,0,True,False,False,False,1035,,,"ArrayEventHandler#853381","QuestBattle#0","울다하 날 회랑",-1,0,3,False,0,0,0,0,False,0,False,False
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,"검은장막 숲","그리다니아","그리다니아 신시가지","f1t1/00","LoadingImage#3",0,0,0,False,1,True,0,True,False,False,False,1003,,,"ArrayEventHandler#852087","QuestBattle#0","그리다니아 신시가지",-1,2,4,False,0,0,0,0,False,0,False,False
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,"검은장막 숲","그리다니아","그리다니아 구시가지","f1t2/00","LoadingImage#3",0,0,0,False,2,True,0,True,False,False,False,1003,,,"ArrayEventHandler#852103","QuestBattle#0","그리다니아 신시가지",-1,0,5,False,0,0,0,0,False,0,False,False
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,"라노시아","라노시아","중부 라노시아","s1f1/00","LoadingImage#2",0,1,0,False,16,False,0,True,True,True,False,1021,,,"ArrayEventHandler#852316","QuestBattle#0","여름여울 농장",-1,0,6,False,0,0,0,1,False,0,False,False
135,"s1f2","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,"라노시아","라노시아","저지 라노시아","s1f2/00","LoadingImage#2",0,1,0,False,17,False,0,True,True,True,False,1021,,,"ArrayEventHandler#853721","QuestBattle#0","모라비 조선소",-1,0,7,False,0,0,0,2,False,0,False,False
136,"s1h1_test","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,"라노시아","라노시아","안갯빛 마을","s1h1/01","LoadingImage#2",0,0,0,False,14,False,0,False,False,False,False,1083,,,,"QuestBattle#0","림사 로민사 하층 갑판",-1,0,8,False,0,0,0,0,False,0,False,False
137,"s1f3","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,"라노시아","라노시아","동부 라노시아","s1f3/01","LoadingImage#2",0,1,0,False,18,False,0,True,True,True,False,1021,,,"ArrayEventHandler#853427","QuestBattle#0","코스타 델 솔",-1,0,9,False,0,0,0,3,False,0,False,False
138,"s1f4","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,"라노시아","라노시아","서부 라노시아","s1f4/00","LoadingImage#2",0,1,0,False,19,False,0,True,True,True,False,1021,,,"ArrayEventHandler#852317","QuestBattle#0","칼새횃대 개척지",-1,0,10,False,0,0,0,4,False,0,False,False
