key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,Name,Description,Icon,MaxStacks,,Category,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,,,,,,,Log,IsFcBuff,Invisibility,,,
int32,str,str,Image,byte,byte,byte,StatusHitEffect,StatusLoopVFX,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,byte,bit&02,bit&04,bit&08,int16,byte,bit&10,uint16,bit&20,bit&40,byte,byte,bit&80
0,"","",,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
1,"石化","手足が石化し、行動できなくなった状態。","ui/icon/015000/015001.tex",0,1,2,"dk05ht_roc0t","dk10ht_roc0h",True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,32,True
2,"スタン","行動できなくなった状態。","ui/icon/015000/015004.tex",0,1,2,"dk05ht_sta0h","dk10ht_sta0f",True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
3,"睡眠","眠りに落ち、行動できなくなった状態。","ui/icon/015000/015013.tex",0,1,2,"dk05ht_slp0s","dk10ht_slp0h",True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,3,True
4,"気絶","気を失い、行動できなくなった状態。","ui/icon/015000/015003.tex",0,1,2,"dk05ht_kztu0t","",True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
5,"アビリティ不可","アビリティを使用できなくなった状態。","ui/icon/015000/015015.tex",0,1,2,"dk05ht_ipab0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
6,"ＷＳ不可","ウェポンスキルを使用できなくなった状態。","ui/icon/015000/015017.tex",0,1,2,"dk05ht_ipws0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
7,"沈黙","魔法を詠唱できなくなった状態。","ui/icon/015000/015005.tex",0,1,2,"dk05ht_slet0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,22,False
8,"ヘイスト","オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが短縮された状態。","ui/icon/015000/015008.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,-15,0,False,0,False,False,0,0,False
9,"スロウ","オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが延長された状態。","ui/icon/015000/015009.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,15,0,False,0,False,False,0,0,False
10,"拘束装置：スロウ","拘束装置の影響で動きが鈍り、オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが延長された状態。","ui/icon/015000/015545.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,True,True,50,False,False,False,20,0,False,0,False,False,0,0,False
11,"混乱","混乱しきった状態。仲間を攻撃し続ける。","ui/icon/015000/015603.tex",0,1,2,"dk05th_stdn0t","",False,False,False,True,False,True,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
12,"レビテト","重力に反発し、宙に浮いた状態。","ui/icon/015000/015037.tex",0,1,1,"dk05th_stup0t","levitate0f",False,False,False,False,False,False,False,True,True,1,False,False,False,0,0,False,0,False,False,0,0,False
13,"バインド","移動できなくなった状態。","ui/icon/015000/015003.tex",0,1,2,"dk05ht_bind0t","dk10ht_bind0h",True,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
14,"ヘヴィ","移動速度が低下した状態。","ui/icon/015000/015002.tex",0,1,2,"dk05ht_grv0h","dk10ht_grv0h",False,False,False,False,False,False,True,False,False,100,False,False,False,0,1,False,0,False,False,0,0,False
15,"暗闇","闇に囚われ、命中率が低下した状態。","ui/icon/015000/015012.tex",0,1,2,"dk05ht_dark0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
16,"","",,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
17,"麻痺","身体が痺れ、時々行動できなくなる状態。","ui/icon/015000/015006.tex",0,1,2,"dk05ht_pal0h","",False,False,False,False,False,False,True,False,False,100,False,False,False,33,0,False,0,False,False,0,0,False
18,"毒","毒に冒された状態。ＨＰが徐々に失われる。","ui/icon/015000/015007.tex",0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,True,False,False,10,False,False,True,10,0,False,0,False,False,0,0,False
19,"猛毒","毒に冒された状態。ＨＰが徐々に失われる。","ui/icon/015000/015517.tex",0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,False,True,True,10,False,False,True,100,0,False,0,False,False,0,0,False
20,"ＴＰ継続ダメージ","連続してＴＰが減少している状態。","ui/icon/015000/015025.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,10,False,False,False,0,0,False,0,False,False,0,0,False
21,"最大ＨＰアップ","最大ＨＰが増加した状態。","ui/icon/015000/015075.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
22,"最大ＨＰダウン","最大ＨＰが減少した状態。","ui/icon/015000/015076.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
23,"最大ＭＰアップ","最大ＭＰが増加した状態。","ui/icon/015000/015077.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
24,"最大ＭＰダウン","最大ＭＰが減少した状態。","ui/icon/015000/015078.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
