ID,ID_HEX,ClassJob,ClassJobCategory,Name
8,0008,0,0,ショット
10,000A,0,0,ランパート
12,000C,0,0,コンバレセンス
13,000D,0,0,アウェアネス
18,0012,0,0,挑発
32,0020,0,0,フォーサイト
33,0021,0,0,フラクチャー
34,0022,0,0,ブラッドバス
36,0024,0,0,マーシーストローク
39,0027,0,0,ブルータルスウィング
55,0037,0,0,フェザーステップ
57,0039,0,0,内丹
58,003A,0,0,カウンター
68,0044,0,0,秘孔拳
76,004C,0,0,フェイント
77,004D,0,0,キーンフラーリ
80,0050,0,0,気合
82,0052,0,0,足払い
89,0059,0,0,リング・オブ・ソーン
91,005B,0,0,二段突き
93,005D,0,0,竜槍
99,0063,0,0,ホークアイ
102,0066,0,0,フレイミングアロー
104,0068,0,0,静者の撃
105,0069,0,0,スウィフトソング
108,006C,0,0,影縫い
109,006D,0,0,ブラントアロー
111,006F,0,0,ワイドボレー
122,007A,0,0,クルセードスタンス
123,007B,0,0,プロテス
126,007E,0,0,エスナ
129,0081,0,0,ストンスキン
130,0082,0,0,女神の加護
138,008A,0,0,ディヴァインシール
143,008F,0,0,堅実魔
148,0094,0,0,サンダラ
150,0096,0,0,迅速魔
151,0097,0,0,レサージー
160,00A0,0,0,アポカタスタシス
161,00A1,0,0,ウォール
169,00A9,0,0,ウイルス
175,00AF,0,0,アイ・フォー・アイ
183,00B7,0,0,スパー
187,00BB,0,0,生命浄化法
191,00BF,0,0,ストンラスキン
196,00C4,0,0,反撃効果
209,00D1,0,0,
307,0133,0,0,サイレス
308,0134,0,0,パライズ
309,0135,0,0,ヘイスト
310,0136,0,0,スロウ
311,0137,0,0,ブレイズスパイク
312,0138,0,0,アイススパイク
313,0139,0,0,ショックスパイク
314,013A,0,0,物理ストンスキン
315,013B,0,0,魔法ストンスキン
316,013C,0,0,ストンスキン
317,013D,0,0,ファウルブレス
318,013E,0,0,フロストブレス
319,013F,0,0,フーキック
320,0140,0,0,スタンピード
321,0141,0,0,ビッグホーン
322,0142,0,0,つぶて打ち
323,0143,0,0,毒手
324,0144,0,0,かっぱらい
325,0145,0,0,サンダーストライク
326,0146,0,0,サンダーストーム
327,0147,0,0,スティッキーウェブ
328,0148,0,0,コースティックスプレー
329,0149,0,0,デッドリースラスト
330,014A,0,0,デッドリースラスト
331,014B,0,0,ウィングカッター
332,014C,0,0,戦慄の叫声
333,014D,0,0,ヨークシャワー
334,014E,0,0,猪突猛進
335,014F,0,0,怒髪天
336,0150,0,0,叫喚
337,0151,0,0,自爆
338,0152,0,0,爆燃
339,0153,0,0,爆轟
340,0154,0,0,モーティファイ
341,0155,0,0,ヘルスラッシュ
342,0156,0,0,ソウルドレイン
343,0157,0,0,死の宣告
344,0158,0,0,シードボレー
345,0159,0,0,サワーサフ
346,015A,0,0,スウィフトサフ
347,015B,0,0,スティッキータン
348,015C,0,0,ガマの脂
349,015D,0,0,ラングイドラップ
350,015E,0,0,マイクロブラスター
351,015F,0,0,チャージドホイスカー
352,0160,0,0,カオティックアイ
353,0161,0,0,ブラスター
354,0162,0,0,キュリオシティ
355,0163,0,0,メガブラスター
356,0164,0,0,アイアンジャスティス
357,0165,0,0,キングスウィル
358,0166,0,0,サフェリングブレード
359,0167,0,0,アブソリューションブレード
360,0168,0,0,リペンタンスブレード
361,0169,0,0,フラットブレード
362,016A,0,0,マインドブラスト
363,016B,0,0,ドレインタッチ
364,016C,0,0,アシッドミスト
365,016D,0,0,アシッドミスト
366,016E,0,0,アシッドミスト
367,016F,0,0,アシッドミスト
368,0170,0,0,目つぶし
369,0171,0,0,つぶて打ち
370,0172,0,0,ボンバディア
371,0173,0,0,インフェスティション
372,0174,0,0,スポイル
373,0175,0,0,サマーソルトスラッシュ
374,0176,0,0,ナットシェル
375,0177,0,0,ナットシェル
376,0178,0,0,ナットシェル
377,0179,0,0,スキャンパー
378,017A,0,0,吸血
379,017B,0,0,超音波
380,017C,0,0,超音波
381,017D,0,0,液汁散布
382,017E,0,0,粘汁散布
383,017F,0,0,忘汁散布
384,0180,0,0,アジテーション
385,0181,0,0,アジテーション
386,0182,0,0,アジテーション
387,0183,0,0,スナップジョー
388,0184,0,0,コロシヴスピット
389,0185,0,0,コロシヴスピット
390,0186,0,0,プロビスカス
391,0187,0,0,吸血
392,0188,0,0,吸血
393,0189,0,0,ブラインディングバースト
394,018A,0,0,凪の光
395,018B,0,0,呪縛
396,018C,0,0,ハイファウィップ
397,018D,0,0,クイージークラウド
398,018E,0,0,スランバークラウド
399,018F,0,0,ロンプ
400,0190,0,0,情熱の律動
401,0191,0,0,熱狂撃
402,0192,0,0,ヘイスト
403,0193,0,0,帝国式強壮剤
404,0194,0,0,帝国式興奮剤
405,0195,0,0,爆弾投げ
406,0196,0,0,爆弾投げ
407,0197,0,0,ファイアクラッカーシャワー
408,0198,0,0,ワイルドラトル
409,0199,0,0,ドリッピングファング
410,019A,0,0,石化にらみ
411,019B,0,0,バックフリップ
412,019C,0,0,テイルチェイス
413,019D,0,0,ファイアボール
414,019E,0,0,ボンビネーション
415,019F,0,0,ウィップクラック
416,01A0,0,0,ゴールデンタン
417,01A1,0,0,トータスストンプ
418,01A2,0,0,甲羅強化
419,01A3,0,0,胴斬り
420,01A4,0,0,ウェットストーン
421,01A5,0,0,怒りの一撃
422,01A6,0,0,グランドスラム
423,01A7,0,0,カミングストーム
424,01A8,0,0,スウィフトガスト
425,01A9,0,0,リフレク
426,01AA,0,0,エンファイア
427,01AB,0,0,エンブリザド
428,01AC,0,0,エンエアロ
429,01AD,0,0,エンストーン
430,01AE,0,0,エンサンダー
431,01AF,0,0,エンウォータ
432,01B0,0,0,ドレイン
440,01B8,0,0,カノピー
441,01B9,0,0,アーボリアルストーム
442,01BA,0,0,どんぐり爆弾
443,01BB,0,0,ストーンスカル
444,01BC,0,0,ボルダークラップ
445,01BD,0,0,トゥルーグリット
446,01BE,0,0,サンダーブレス
447,01BF,0,0,登場
448,01C0,0,0,スタグナントスプレー
449,01C1,0,0,不気味な光
450,01C2,0,0,不思議な光
451,01C3,0,0,攻撃
452,01C4,0,0,熱風
453,01C5,0,0,インシネレート
454,01C6,0,0,バルカンバースト
455,01C7,0,0,エラプション
456,01C8,0,0,光輝の炎柱
457,01C9,0,0,クリムゾンサイクロン
458,01CA,0,0,地獄の火炎
459,01CB,0,0,イフリート：ジャンプ
460,01CC,0,0,イフリート：着地
461,01CD,0,0,イフリート：炎獄の楔召喚
462,01CE,0,0,イフリート：角復活
463,01CF,0,0,イフリート：怒りオン
464,01D0,0,0,炎獄の楔：出現
465,01D1,0,0,炎獄の楔：死亡
474,01DA,0,0,蛮勇
475,01DB,0,0,三連撃
476,01DC,0,0,フットワーク
477,01DD,0,0,急所狙い
478,01DE,0,0,バックハンドブロー
479,01DF,0,0,ライズ・アンド・フォール
480,01E0,0,0,光合成
481,01E1,0,0,活性化
482,01E2,0,0,プレーンクラッカー
483,01E3,0,0,ロックスライド
484,01E4,0,0,石灰化
485,01E5,0,0,汎用：詩人技：回避アップ歌
486,01E6,0,0,汎用：詩人技：攻撃アップ歌
487,01E7,0,0,汎用：詩人技：防御アップ歌
488,01E8,0,0,ポイズンタッチ
489,01E9,0,0,スウィートスチール
490,01EA,0,0,石火豪拳
491,01EB,0,0,我武者羅
492,01EC,0,0,ピアシングアロー
493,01ED,0,0,汎用：巴術技：単体スロウ
494,01EE,0,0,汎用：巴術技：単体防御DOWN
495,01EF,0,0,猫だまし
496,01F0,0,0,砂かけ
497,01F1,0,0,ボディスラム
498,01F2,0,0,コールドゲイズ
499,01F3,0,0,ストーンゲイズ
500,01F4,0,0,爆走
501,01F5,0,0,針五十本
502,01F6,0,0,針百本
503,01F7,0,0,針千本
504,01F8,0,0,ハンマービーク
505,01F9,0,0,ペトロブレス
